 HISTORY OF REFINEMENTS
 mesh | nrdof_tot |nrdof_con|    residual   |  rate  | field error  |rel field error|   rate 
 
   1  |      218 |      110 |  0.31497E-01  |   0.00 |  0.87006E-01 |  0.10000E+01  |   0.00
   2  |     1467 |      603 |  0.17510E-01  |  -0.31 |  0.84220E-01 |  0.99988E+00  |  -0.00
   3  |     2545 |      925 |  0.98925E-02  |  -1.04 |  0.84196E-01 |  0.10006E+01  |   0.00
   4  |     4701 |     1569 |  0.11447E-01  |   0.24 |  0.84182E-01 |  0.10004E+01  |  -0.00
   5  |     5779 |     1891 |  0.98596E-02  |  -0.72 |  0.84062E-01 |  0.99901E+00  |  -0.01
   6  |    19955 |     6239 |  0.19456E-01  |   0.55 |  0.83879E-01 |  0.99684E+00  |  -0.00
   7  |    51753 |    15913 |  0.19377E-01  |  -0.00 |  0.81776E-01 |  0.97185E+00  |  -0.03
   8  |    72092 |    21588 |  0.17114E-01  |  -0.37 |  0.79613E-01 |  0.94614E+00  |  -0.08
   9  |   113435 |    32967 |  0.17087E-01  |  -0.00 |  0.77859E-01 |  0.92530E+00  |  -0.05
  10  |   161493 |    46177 |  0.16502E-01  |  -0.10 |  0.75997E-01 |  0.90317E+00  |  -0.07
  11  |   233565 |    65865 |  0.15880E-01  |  -0.10 |  0.74125E-01 |  0.88093E+00  |  -0.07
  12  |   288915 |    81371 |  0.16179E-01  |   0.09 |  0.72142E-01 |  0.85736E+00  |  -0.13
  13  |   346071 |    97171 |  0.15900E-01  |  -0.10 |  0.70324E-01 |  0.83575E+00  |  -0.14
  14  |   409756 |   113764 |  0.15639E-01  |  -0.10 |  0.68856E-01 |  0.81830E+00  |  -0.12
  15  |   474349 |   131461 |  0.15611E-01  |  -0.01 |  0.66903E-01 |  0.79509E+00  |  -0.20
  16  |   526674 |   145534 |  0.15484E-01  |  -0.08 |  0.65295E-01 |  0.77599E+00  |  -0.23
  17  |   608197 |   168113 |  0.15227E-01  |  -0.12 |  0.64233E-01 |  0.76336E+00  |  -0.11
  18  |   738354 |   202610 |  0.15578E-01  |   0.12 |  0.61952E-01 |  0.73626E+00  |  -0.19
  19  |   810668 |   222272 |  0.15534E-01  |  -0.03 |  0.60302E-01 |  0.71665E+00  |  -0.29
  20  |   907970 |   248994 |  0.15041E-01  |  -0.28 |  0.59379E-01 |  0.70567E+00  |  -0.14
  21  |   985656 |   270236 |  0.14670E-01  |  -0.30 |  0.58119E-01 |  0.69071E+00  |  -0.26
  22  |  1070686 |   294290 |  0.14601E-01  |  -0.06 |  0.57386E-01 |  0.68200E+00  |  -0.15
  23  |  1204688 |   330928 |  0.14777E-01  |   0.10 |  0.54931E-01 |  0.65282E+00  |  -0.37
  24  |  1308526 |   360058 |  0.14606E-01  |  -0.14 |  0.52367E-01 |  0.62234E+00  |  -0.58
  25  |  1498211 |   410075 |  0.14493E-01  |  -0.06 |  0.49310E-01 |  0.58602E+00  |  -0.44
  26  |  1536163 |   421943 |  0.13091E-01  |  -4.07 |  0.48781E-01 |  0.57973E+00  |  -0.43
  27  |  1549173 |   426637 |  0.11882E-01  | -11.49 |  0.49381E-01 |  0.58686E+00  |   1.45
  28  |  2048591 |   553843 |  0.11929E-01  |   0.01 |  0.43394E-01 |  0.51571E+00  |  -0.46
  29  |  2139643 |   580611 |  0.11937E-01  |   0.02 |  0.41096E-01 |  0.48840E+00  |  -1.25
  30  |  2203568 |   599680 |  0.11789E-01  |  -0.42 |  0.40031E-01 |  0.47574E+00  |  -0.89
  31  |  2297085 |   627317 |  0.10726E-01  |  -2.27 |  0.38037E-01 |  0.45204E+00  |  -1.23
  32  |  2476638 |   676394 |  0.10004E-01  |  -0.93 |  0.35257E-01 |  0.41900E+00  |  -1.01
  33  |  3135291 |   831087 |  0.85828E-02  |  -0.65 |  0.29751E-01 |  0.35357E+00  |  -0.72
  34  |  3239314 |   861806 |  0.84233E-02  |  -0.57 |  0.27619E-01 |  0.32823E+00  |  -2.28
  35  |  3472150 |   926786 |  0.77191E-02  |  -1.26 |  0.24590E-01 |  0.29223E+00  |  -1.67
  36  |  4484753 |  1158009 |  0.57452E-02  |  -1.15 |  0.18705E-01 |  0.22230E+00  |  -1.07
  37  |  5398879 |  1376871 |  0.48031E-02  |  -0.97 |  0.13529E-01 |  0.16078E+00  |  -1.75
  38  |  5815798 |  1483814 |  0.43863E-02  |  -1.22 |  0.10783E-01 |  0.12815E+00  |  -3.05
